Nom_IRIS,lat,lon
Agassac,43.372387492048574,0.8860257902799216
Aignes,43.3345516352542,1.5865147798495716
Aigrefeuille,43.56925765411039,1.5851864342171424
Ayguesvives,43.42868907300247,1.5942891041945155
Alan,43.21985139696685,0.927105658311352
Albiac,43.55606487757881,1.783107366960781
Ambax,43.36852493841934,0.9367145045436515
Anan,43.35238324288092,0.811099089498538
Antichan-de-Frontignes,42.96988899655975,0.6762421143354759
Antignac,42.83055006347928,0.588420792150021
Arbas,42.99243492867883,0.9057134221822543
Arbon,43.00068752532481,0.7316708063669694
Ardiège,43.06676979800648,0.6444232999853949
Arguenos,42.95869366762594,0.7274410505262738
Argut-Dessous,42.8923854380089,0.7150912882702745
Arlos,42.874014110629254,0.6946812879516469
Arnaud-Guilhem,43.146379894436315,0.8994968241298842
Artigue,42.8261741938943,0.6399896259415122
Aspet,43.01144281980405,0.8061478874937162
Aspret-Sarrat,43.070148280185855,0.720338573036956
L'Hers,43.67232517399873,1.4344294851575434
Les Violettes,43.67076605960275,1.4195083875788324
Aulon,43.190400390934876,0.8129772425412837
Auragne,43.39136231011554,1.5093762586878787
Aureville,43.4801039812114,1.4571960841947469
Auriac-sur-Vendinelle,43.519458181949744,1.8248535389281009
Auribail,43.345773925547014,1.3748586111524044
Aurignac,43.214152521275324,0.8708472560072572
Aurin,43.53574979308935,1.6820628608787107
Ausseing,43.15400757625522,1.031059555464561
Ausson,43.09139893529288,0.5897839390272309
Aussonne,43.68387453253091,1.3286042652830041
Nord,43.36932022958218,1.4774098974255054
Sud-Est,43.34395754833605,1.4968174306433848
Sud-Ouest,43.33808792311581,1.467428674536001
Auzas,43.174902484024976,0.8944650385901083
Auzeville-Tolosane,43.528716610034834,1.4871324125592502
Auzielle,43.53995914054648,1.5682656296405602
Avignonet-Lauragais,43.376982803262834,1.7730902779547766
Azas,43.720156845355866,1.6746524177868247
Bachas,43.24878553362874,0.9409200736846708
Bachos,42.898639945615514,0.6030656879258258
Bagiry,42.980210237054166,0.624015235520705
Bagnères-de-Luchon,42.734937454708195,0.6269381257744361
Balesta,43.20205956598582,0.5631778206094432
Centre,43.6049166337776,1.5098758465575555
La Plaine,43.60592794715902,1.495410834496827
Centre Ancien,43.61183272957468,1.495062758933725
Le Château,43.61777789672606,1.5008655142942835
Saint-Clair-Coteaux,43.61440171028009,1.514028489576791
Lasbordes,43.59486048386688,1.5152723149112874
Zone d'Activités Sud,43.5915738903542,1.5014528879734133
Zone d'Activités Nord,43.627020125195564,1.5009895810209237
Barbazan,43.0344216777105,0.6222922959938396
Baren,42.867681198708794,0.634894539056322
Bax,43.22499885707143,1.288507411434081
Baziège,43.462358604601484,1.6280008303810345
Bazus,43.73555186680685,1.519901273676122
Beauchalot,43.11406218320421,0.8698683513466576
Beaufort,43.45494191777841,1.1059093837176968
Beaumont-sur-Lèze,43.379757135535485,1.356256139745906
Beaupuy,43.65258243161041,1.5590528137832227
Beauteville,43.349043746756294,1.7334444284584785
Beauville,43.46786140241174,1.7707347236934956
Nord,43.668629349246594,1.3707051166263178
Sud,43.662493303557454,1.3842224254322715
Belberaud,43.503523557484165,1.570491760611328
Belbèze-de-Lauragais,43.43787433333885,1.55635062066336
Belbèze-en-Comminges,43.13405375000922,1.0298075416381058
Bélesta-en-Lauragais,43.439669130074165,1.8317702129693794
Bellegarde-Sainte-Marie,43.67610216518789,1.099409315071821
Bellesserre,43.7874210023711,1.1018835220315952
Benque,43.25970289119792,0.9178011244417337
Benque-Dessous-et-Dessus,42.8208837325539,0.5418608999550589
Bérat,43.377840885080744,1.1717652133606182
Bessières,43.796991795091294,1.586019275287677
Bezins-Garraux,42.938617217501054,0.6999390541733169
Billière,42.81597112915326,0.5291958566124169
Berry,43.633684406460894,1.3896000214711484
Ritouret,43.63559489889744,1.383667113580865
Baradel,43.63946396239039,1.3819714829839478
Grand Noble,43.646000560485575,1.3761637596010472
Grenade,43.646219733981745,1.386221804408115
Saoulous,43.642667970694944,1.3948428753438273
Centre,43.63362486636269,1.3974745967360054
Compans,43.6264784352402,1.3968666385825328
Servanty,43.62571475835027,1.3893398002596593
Aéroport,43.6319090889151,1.369234467992652
Pinot,43.653432228420684,1.3799203855537847
Blajan,43.25435875238209,0.6476191204728485
Bois-de-la-Pierre,43.34144999695653,1.16172032437342
Boissède,43.40733899171683,0.8262839865762566
Bondigoux,43.84297836409754,1.5431388332774294
Bonrepos-Riquet,43.676906502823016,1.6231861139931534
Bonrepos-sur-Aussonnelle,43.544057791578524,1.1378515897467805
Bordes-de-Rivière,43.12354148930818,0.6353920881484196
Le Born,43.89514934872495,1.5386769655922685
Boudrac,43.18704041862072,0.5170618671150992
Bouloc,43.7956482671217,1.4183941151191077
Boulogne-sur-Gesse,43.290436402489554,0.6504652023694795
Bourg-d'Oueil,42.86073327166702,0.48689175062620904
Bourg-Saint-Bernard,43.60565356697805,1.6986760563504155
Boussan,43.24196223810362,0.8749810348479927
Boussens,43.17668592130268,0.9604716369365172
Boutx,42.915488803269916,0.7701559339351182
Bouzin,43.19116832885533,0.8832877852979784
Bragayrac,43.48915800720701,1.0703691785708283
Brax,43.61508302860939,1.232963414151911
Bretx,43.70597245899926,1.1963302556384825
Brignemont,43.76922979941625,0.9985462696781756
Bruguières,43.726869410184946,1.4091793296459776
Burgalays,42.88431320191216,0.6359319880350415
Le Burgaud,43.789471524505295,1.145919593041112
Buzet-sur-Tarn,43.76856985948223,1.6133335881109854
Cabanac-Cazaux,43.03464887437082,0.7400693383681154
